outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,21-Oct,202140,17-Dec,vaccinated,"2,415","5,215,933","22,347","5,662,491",46.30044136,394.6496339,8.523668939,,,,,,,,0
case,21-Oct,202140,17-Dec,vax with updated booster,,,"22,347","5,662,491",,394.6496339,,,,,,,,,0
case,21-Oct,202140,18-29,vaccinated,"9,702","12,993,943","37,134","10,635,534",74.66555764,349.1503106,4.676189688,,,,,,,,0
case,21-Oct,202140,18-29,vax with updated booster,,,"37,134","10,635,534",,349.1503106,,,,,,,,,0
case,21-Oct,202140,30-49,vaccinated,"25,417","24,904,526","56,640","12,585,691",102.0577545,450.0348849,4.409609903,,,,,,,,0
case,21-Oct,202140,30-49,vax with updated booster,,,"56,640","12,585,691",,450.0348849,,,,,,,,,0
case,21-Oct,202140,50-64,vaccinated,"18,683","21,165,534","26,765","6,330,888",88.27086527,422.7684963,4.789445476,,,,,,,,0
case,21-Oct,202140,50-64,vax with updated booster,,,"26,765","6,330,888",,422.7684963,,,,,,,,,0
case,21-Oct,202140,65-79,vaccinated,"13,655","15,766,623.10","11,460","1,819,338.30",86.60700464,629.8993431,7.273076187,,,,,,,,1
case,21-Oct,202140,65-79,vax with updated booster,,,"11,460","1,819,338.30",,629.8993431,,,,,,,,,1
case,21-Oct,202140,80+,vaccinated,"4,372","4,557,088","2,821","859,328.85",95.93845895,328.2794474,3.421771112,,,,,,,,1
case,21-Oct,202140,80+,vax with updated booster,,,"2,821","859,328.85",,328.2794474,,,,,,,,,1
case,21-Oct,202140,all_ages,vaccinated,"71,829","79,387,714.10","134,820","32,230,780.15",,,,91.15100749,439.8333712,4.825326492,80.35425,378.77594,4.71383,,1
case,21-Oct,202140,all_ages,vax with updated booster,,,"134,820","32,230,780.15",,,,,439.8333712,,,378.77594,,,1
case,21-Oct,202141,17-Dec,vaccinated,"2,003","5,357,258","17,570","5,593,620",37.38852973,314.1078586,8.401182418,,,,,,,,0
case,21-Oct,202141,17-Dec,vax with updated booster,,,"17,570","5,593,620",,314.1078586,,,,,,,,,0
case,21-Oct,202141,18-29,vaccinated,"8,776","13,227,467","30,693","10,489,460",66.34679187,292.6080084,4.410281193,,,,,,,,0
case,21-Oct,202141,18-29,vax with updated booster,,,"30,693","10,489,460",,292.6080084,,,,,,,,,0
case,21-Oct,202141,30-49,vaccinated,"22,584","25,251,505","47,070","12,372,412",89.4362534,380.4431989,4.253791773,,,,,,,,0
case,21-Oct,202141,30-49,vax with updated booster,,,"47,070","12,372,412",,380.4431989,,,,,,,,,0
case,21-Oct,202141,50-64,vaccinated,"16,927","21,337,163","22,721","6,222,299",79.33107133,365.1544228,4.602918084,,,,,,,,0
case,21-Oct,202141,50-64,vax with updated booster,,,"22,721","6,222,299",,365.1544228,,,,,,,,,0
case,21-Oct,202141,65-79,vaccinated,"11,751","15,836,060.10","10,290","1,758,776",74.20406292,585.0659777,7.884554494,,,,,,,,1
case,21-Oct,202141,65-79,vax with updated booster,,,"10,290","1,758,776",,585.0659777,,,,,,,,,1
case,21-Oct,202141,80+,vaccinated,"3,969","4,573,506","2,533","836,462.85",86.78243781,302.8227733,3.489447646,,,,,,,,1
case,21-Oct,202141,80+,vax with updated booster,,,"2,533","836,462.85",,302.8227733,,,,,,,,,1
case,21-Oct,202141,all_ages,vaccinated,"64,007","80,225,701.10","113,307","31,679,409.85",,,,80.38475591,380.5631547,4.734270203,80.35425,378.77594,4.71383,,1
case,21-Oct,202141,all_ages,vax with updated booster,,,"113,307","31,679,409.85",,,,,380.5631547,,,378.77594,,,1
case,21-Oct,202142,17-Dec,vaccinated,"2,018","5,476,599","14,792","5,535,731",36.84768595,267.2095158,7.251731253,,,,,,,,0
case,21-Oct,202142,17-Dec,vax with updated booster,,,"14,792","5,535,731",,267.2095158,,,,,,,,,0
case,21-Oct,202142,18-29,vaccinated,"7,984","13,442,193","27,428","10,354,691",59.39507043,264.8847754,4.459709762,,,,,,,,0
case,21-Oct,202142,18-29,vax with updated booster,,,"27,428","10,354,691",,264.8847754,,,,,,,,,0
case,21-Oct,202142,30-49,vaccinated,"21,362","25,578,421","41,816","12,173,738",83.51571037,343.4935104,4.112920897,,,,,,,,0
case,21-Oct,202142,30-49,vax with updated booster,,,"41,816","12,173,738",,343.4935104,,,,,,,,,0
case,21-Oct,202142,50-64,vaccinated,"15,897","21,497,174","20,066","6,118,264",73.94925491,327.9688487,4.435052781,,,,,,,,0
case,21-Oct,202142,50-64,vax with updated booster,,,"20,066","6,118,264",,327.9688487,,,,,,,,,0
case,21-Oct,202142,65-79,vaccinated,"10,593","15,903,394.10","9,078","1,729,866.30",66.60842292,524.7804411,7.878589796,,,,,,,,1
case,21-Oct,202142,65-79,vax with updated booster,,,"9,078","1,729,866.30",,524.7804411,,,,,,,,,1
case,21-Oct,202142,80+,vaccinated,"3,507","4,590,213","2,210","817,024.85",76.40168332,270.4936086,3.540414253,,,,,,,,1
case,21-Oct,202142,80+,vax with updated booster,,,"2,210","817,024.85",,270.4936086,,,,,,,,,1
case,21-Oct,202142,all_ages,vaccinated,"59,343","81,011,395.10","100,598","31,193,584.15",,,,73.94022755,342.8391677,4.63670696,80.35425,378.77594,4.71383,,1
case,21-Oct,202142,all_ages,vax with updated booster,,,"100,598","31,193,584.15",,,,,342.8391677,,,378.77594,,,1
case,21-Oct,202143,17-Dec,vaccinated,"1,959","5,572,820","14,766","5,482,829",35.15275929,269.3135241,7.661234269,,,,,,,,0
case,21-Oct,202143,17-Dec,vax with updated booster,,,"14,766","5,482,829",,269.3135241,,,,,,,,,0
case,21-Oct,202143,18-29,vaccinated,"8,692","13,625,526","28,164","10,222,496",63.79203269,275.5100124,4.318878092,,,,,,,,0
case,21-Oct,202143,18-29,vax with updated booster,,,"28,164","10,222,496",,275.5100124,,,,,,,,,0
case,21-Oct,202143,30-49,vaccinated,"22,236","25,851,283","41,439","11,961,078",86.01507322,346.4487064,4.027767383,,,,,,,,0
case,21-Oct,202143,30-49,vax with updated booster,,,"41,439","11,961,078",,346.4487064,,,,,,,,,0
case,21-Oct,202143,50-64,vaccinated,"16,428","21,631,168","20,226","5,984,451",75.94596834,337.9758645,4.450214697,,,,,,,,0
case,21-Oct,202143,50-64,vax with updated booster,,,"20,226","5,984,451",,337.9758645,,,,,,,,,0
case,21-Oct,202143,65-79,vaccinated,"10,386","15,959,624.10","8,826","1,679,948.85",65.0767207,525.3731386,8.073134801,,,,,,,,1
case,21-Oct,202143,65-79,vax with updated booster,,,"8,826","1,679,948.85",,525.3731386,,,,,,,,,1
case,21-Oct,202143,80+,vaccinated,"3,601","4,604,975","2,221","780,816.85",78.19803582,284.4457058,3.637504482,,,,,,,,1
case,21-Oct,202143,80+,vax with updated booster,,,"2,221","780,816.85",,284.4457058,,,,,,,,,1
case,21-Oct,202143,all_ages,vaccinated,"61,343","81,672,576.10","100,876","30,628,790.70",,,,76.21061147,349.0718884,4.580358058,80.35425,378.77594,4.71383,,1
case,21-Oct,202143,all_ages,vax with updated booster,,,"100,876","30,628,790.70",,,,,349.0718884,,,378.77594,,,1
case,21-Nov,202144,17-Dec,vaccinated,"2,387","5,651,309","14,883","5,433,051",42.23800185,273.9344799,6.48549808,,,,,,,,0
case,21-Nov,202144,17-Dec,vax with updated booster,,,"14,883","5,433,051",,273.9344799,,,,,,,,,0
case,21-Nov,202144,18-29,vaccinated,"11,263","13,785,442","28,539","10,093,668",81.70213186,282.7416158,3.460639391,,,,,,,,0
case,21-Nov,202144,18-29,vax with updated booster,,,"28,539","10,093,668",,282.7416158,,,,,,,,,0
case,21-Nov,202144,30-49,vaccinated,"25,220","26,096,483","40,987","11,748,464",96.64137501,348.8711375,3.609956269,,,,,,,,0
case,21-Nov,202144,30-49,vax with updated booster,,,"40,987","11,748,464",,348.8711375,,,,,,,,,0
case,21-Nov,202144,50-64,vaccinated,"17,328","21,750,219","19,559","5,845,456",79.66816334,334.601783,4.199943478,,,,,,,,0
case,21-Nov,202144,50-64,vax with updated booster,,,"19,559","5,845,456",,334.601783,,,,,,,,,0
case,21-Nov,202144,65-79,vaccinated,"10,054","16,012,886.10","8,243","1,634,819.85",62.78693258,504.2145775,8.030565546,,,,,,,,1
case,21-Nov,202144,65-79,vax with updated booster,,,"8,243","1,634,819.85",,504.2145775,,,,,,,,,1
case,21-Nov,202144,80+,vaccinated,"3,524","4,619,321","2,014","757,031.05",76.28826834,266.039286,3.487289616,,,,,,,,1
case,21-Nov,202144,80+,vax with updated booster,,,"2,014","757,031.05",,266.039286,,,,,,,,,1
case,21-Nov,202144,all_ages,vaccinated,"67,389","82,264,351.10","99,342","30,079,438.90",,,,84.83135914,347.4693414,4.096001112,93.44667,388.95412,4.16231,,1
case,21-Nov,202144,all_ages,vax with updated booster,,,"99,342","30,079,438.90",,,,,347.4693414,,,388.95412,,,1
case,21-Nov,202145,17-Dec,vaccinated,"2,743","5,716,842","16,813","5,360,465",47.98103568,313.648163,6.5369194,,,,,,,,0
case,21-Nov,202145,17-Dec,vax with updated booster,,,"16,813","5,360,465",,313.648163,,,,,,,,,0
case,21-Nov,202145,18-29,vaccinated,"11,940","13,924,149","30,639","9,971,428",85.7503033,307.2679259,3.583286753,,,,,,,,0
case,21-Nov,202145,18-29,vax with updated booster,,,"30,639","9,971,428",,307.2679259,,,,,,,,,0
case,21-Nov,202145,30-49,vaccinated,"29,209","26,317,374","45,814","11,553,952",110.9875172,396.5223328,3.572675042,,,,,,,,0
case,21-Nov,202145,30-49,vax with updated booster,,,"45,814","11,553,952",,396.5223328,,,,,,,,,0
case,21-Nov,202145,50-64,vaccinated,"19,908","21,862,404","21,677","5,724,849.90",91.06043416,378.6474821,4.158199833,,,,,,,,1
case,21-Nov,202145,50-64,vax with updated booster,,,"21,677","5,724,849.90",,378.6474821,,,,,,,,,1
case,21-Nov,202145,65-79,vaccinated,"10,445","16,083,953.10","8,792","1,600,695.85",64.94050272,549.2611229,8.457913011,,,,,,,,1
case,21-Nov,202145,65-79,vax with updated booster,,,"8,792","1,600,695.85",,549.2611229,,,,,,,,,1
case,21-Nov,202145,80+,vaccinated,"3,679","4,639,761","2,205","739,384.05",79.29287737,298.2212018,3.761008702,,,,,,,,1
case,21-Nov,202145,80+,vax with updated booster,,,"2,205","739,384.05",,298.2212018,,,,,,,,,1
case,21-Nov,202145,all_ages,vaccinated,"75,181","82,827,641.10","109,127","29,590,309.80",,,,94.32118641,388.3814488,4.117648045,93.44667,388.95412,4.16231,,1
case,21-Nov,202145,all_ages,vax with updated booster,,,"109,127","29,590,309.80",,,,,388.3814488,,,388.95412,,,1
case,21-Nov,202146,17-Dec,vaccinated,"3,166","5,771,101","17,913","5,277,400",54.85954933,339.4285065,6.187227394,,,,,,,,0
case,21-Nov,202146,17-Dec,vax with updated booster,,,"17,913","5,277,400",,339.4285065,,,,,,,,,0
case,21-Nov,202146,18-29,vaccinated,"12,863","14,046,642","31,162","9,843,193",91.57348781,316.5842629,3.457160696,,,,,,,,0
case,21-Nov,202146,18-29,vax with updated booster,,,"31,162","9,843,193",,316.5842629,,,,,,,,,0
case,21-Nov,202146,30-49,vaccinated,"31,891","26,516,523","48,406","11,346,790",120.2684077,426.6052337,3.547109684,,,,,,,,0
case,21-Nov,202146,30-49,vax with updated booster,,,"48,406","11,346,790",,426.6052337,,,,,,,,,0
case,21-Nov,202146,50-64,vaccinated,"22,236","21,965,802","23,875","5,597,223.90",101.2300848,426.5507406,4.213675621,,,,,,,,1
