outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
death,21-Oct,202140,17-Dec,vaccinated,0,"4,550,524",4,"5,113,442",0,0.078225196,,,,,,,,,0
death,21-Oct,202140,17-Dec,vax with updated booster,,,4,"5,113,442",,0.078225196,,,,,,,,,0
death,21-Oct,202140,18-29,vaccinated,0,"11,016,038",27,"9,721,147",0,0.277745003,,,,,,,,,0
death,21-Oct,202140,18-29,vax with updated booster,,,27,"9,721,147",,0.277745003,,,,,,,,,0
death,21-Oct,202140,30-49,vaccinated,17,"21,347,745",319,"11,552,795",0.079633704,2.761236567,34.67422006,,,,,,,,0
death,21-Oct,202140,30-49,vax with updated booster,,,319,"11,552,795",,2.761236567,,,,,,,,,0
death,21-Oct,202140,50-64,vaccinated,95,"18,108,599",692,"5,728,686",0.524612644,12.07955891,23.02567246,,,,,,,,0
death,21-Oct,202140,50-64,vax with updated booster,,,692,"5,728,686",,12.07955891,,,,,,,,,0
death,21-Oct,202140,65-79,vaccinated,278,"13,556,048.10",828,"1,697,436.90",2.050745158,48.77942738,23.78619654,,,,,,,,1
death,21-Oct,202140,65-79,vax with updated booster,,,828,"1,697,436.90",,48.77942738,,,,,,,,,1
death,21-Oct,202140,80+,vaccinated,311,"3,827,221",473,"772,132.85",8.126000563,61.25888829,7.538627128,,,,,,,,1
death,21-Oct,202140,80+,vax with updated booster,,,473,"772,132.85",,61.25888829,,,,,,,,,1
death,21-Oct,202140,all_ages,vaccinated,701,"67,855,651.10","2,339","29,472,197.75",,,,0.760943552,12.50422698,16.43252898,0.67304,10.63058,15.79496,,1
death,21-Oct,202140,all_ages,vax with updated booster,,,"2,339","29,472,197.75",,,,,12.50422698,,,10.63058,,,1
death,21-Oct,202141,17-Dec,vaccinated,0,"4,670,352",2,"5,055,363",0,0.039561946,,,,,,,,,0
death,21-Oct,202141,17-Dec,vax with updated booster,,,2,"5,055,363",,0.039561946,,,,,,,,,0
death,21-Oct,202141,18-29,vaccinated,2,"11,209,670",30,"9,599,289",0.017841738,0.312523146,17.51640668,,,,,,,,0
death,21-Oct,202141,18-29,vax with updated booster,,,30,"9,599,289",,0.312523146,,,,,,,,,0
death,21-Oct,202141,30-49,vaccinated,19,"21,645,559",235,"11,372,284",0.087777821,2.066427465,23.54156717,,,,,,,,0
death,21-Oct,202141,30-49,vax with updated booster,,,235,"11,372,284",,2.066427465,,,,,,,,,0
death,21-Oct,202141,50-64,vaccinated,91,"18,258,494",616,"5,634,401",0.49839817,10.93283918,21.93595369,,,,,,,,0
death,21-Oct,202141,50-64,vax with updated booster,,,616,"5,634,401",,10.93283918,,,,,,,,,0
death,21-Oct,202141,65-79,vaccinated,229,"13,619,129.10",753,"1,636,874.60",1.681458472,46.00230219,27.35857172,,,,,,,,1
death,21-Oct,202141,65-79,vax with updated booster,,,753,"1,636,874.60",,46.00230219,,,,,,,,,1
death,21-Oct,202141,80+,vaccinated,305,"3,842,085",413,"751,634.85",7.938398031,54.94689343,6.921660165,,,,,,,,1
death,21-Oct,202141,80+,vax with updated booster,,,413,"751,634.85",,54.94689343,,,,,,,,,1
death,21-Oct,202141,all_ages,vaccinated,646,"68,574,937.10","2,047","28,994,483.45",,,,0.708137184,11.36214213,16.04511441,0.67304,10.63058,15.79496,,1
death,21-Oct,202141,all_ages,vax with updated booster,,,"2,047","28,994,483.45",,,,,11.36214213,,,10.63058,,,1
death,21-Oct,202142,17-Dec,vaccinated,0,"4,770,752",4,"5,006,475",0,0.079896534,,,,,,,,,0
death,21-Oct,202142,17-Dec,vax with updated booster,,,4,"5,006,475",,0.079896534,,,,,,,,,0
death,21-Oct,202142,18-29,vaccinated,2,"11,388,368",25,"9,485,659",0.017561779,0.263555753,15.00734952,,,,,,,,0
death,21-Oct,202142,18-29,vax with updated booster,,,25,"9,485,659",,0.263555753,,,,,,,,,0
death,21-Oct,202142,30-49,vaccinated,15,"21,921,579",212,"11,202,085",0.068425728,1.892504833,27.65779613,,,,,,,,0
death,21-Oct,202142,30-49,vax with updated booster,,,212,"11,202,085",,1.892504833,,,,,,,,,0
death,21-Oct,202142,50-64,vaccinated,71,"18,396,347",487,"5,542,730",0.385946188,8.786284015,22.76556755,,,,,,,,0
death,21-Oct,202142,50-64,vax with updated booster,,,487,"5,542,730",,8.786284015,,,,,,,,,0
death,21-Oct,202142,65-79,vaccinated,226,"13,679,653.10",621,"1,607,964.90",1.652088678,38.620246,23.37661805,,,,,,,,1
death,21-Oct,202142,65-79,vax with updated booster,,,621,"1,607,964.90",,38.620246,,,,,,,,,1
death,21-Oct,202142,80+,vaccinated,274,"3,857,053",326,"734,455.85",7.103869198,44.38660268,6.248229162,,,,,,,,1
death,21-Oct,202142,80+,vax with updated booster,,,326,"734,455.85",,44.38660268,,,,,,,,,1
death,21-Oct,202142,all_ages,vaccinated,588,"69,243,000.10","1,671","28,572,894.75",,,,0.636207357,9.446514884,14.84816984,0.67304,10.63058,15.79496,,1
death,21-Oct,202142,all_ages,vax with updated booster,,,"1,671","28,572,894.75",,,,,9.446514884,,,10.63058,,,1
death,21-Oct,202143,17-Dec,vaccinated,1,"4,851,263",0,"4,961,908",0.020613189,0,0,,,,,,,,0
death,21-Oct,202143,17-Dec,vax with updated booster,,,0,"4,961,908",,0,,,,,,,,,0
death,21-Oct,202143,18-29,vaccinated,0,"11,539,218",17,"9,375,047",0,0.181332424,,,,,,,,,0
death,21-Oct,202143,18-29,vax with updated booster,,,17,"9,375,047",,0.181332424,,,,,,,,,0
death,21-Oct,202143,30-49,vaccinated,14,"22,147,901",169,"11,023,716",0.063211408,1.533058363,24.25287489,,,,,,,,0
death,21-Oct,202143,30-49,vax with updated booster,,,169,"11,023,716",,1.533058363,,,,,,,,,0
death,21-Oct,202143,50-64,vaccinated,54,"18,510,318",429,"5,423,562",0.291729186,7.90993078,27.11395076,,,,,,,,0
death,21-Oct,202143,50-64,vax with updated booster,,,429,"5,423,562",,7.90993078,,,,,,,,,0
death,21-Oct,202143,65-79,vaccinated,217,"13,729,651.10",575,"1,558,047.45",1.580520863,36.90516614,23.35000253,,,,,,,,1
death,21-Oct,202143,65-79,vax with updated booster,,,575,"1,558,047.45",,36.90516614,,,,,,,,,1
death,21-Oct,202143,80+,vaccinated,263,"3,870,161",339,"701,226.85",6.795582923,48.34384194,7.114009569,,,,,,,,1
death,21-Oct,202143,80+,vax with updated booster,,,339,"701,226.85",,48.34384194,,,,,,,,,1
death,21-Oct,202143,all_ages,vaccinated,548,"69,797,249.10","1,529","28,081,599.30",,,,0.588413185,9.066489327,15.40837214,0.67304,10.63058,15.79496,,1
death,21-Oct,202143,all_ages,vax with updated booster,,,"1,529","28,081,599.30",,,,,9.066489327,,,10.63058,,,1
death,21-Nov,202144,17-Dec,vaccinated,0,"4,916,718",2,"4,919,466",0,0.040654819,,,,,,,,,0
death,21-Nov,202144,17-Dec,vax with updated booster,,,2,"4,919,466",,0.040654819,,,,,,,,,0
death,21-Nov,202144,18-29,vaccinated,0,"11,669,107",21,"9,267,344",0,0.226602142,,,,,,,,,0
death,21-Nov,202144,18-29,vax with updated booster,,,21,"9,267,344",,0.226602142,,,,,,,,,0
death,21-Nov,202144,30-49,vaccinated,19,"22,346,611",172,"10,846,046",0.085024078,1.585831371,18.65155619,,,,,,,,0
death,21-Nov,202144,30-49,vax with updated booster,,,172,"10,846,046",,1.585831371,,,,,,,,,0
death,21-Nov,202144,50-64,vaccinated,64,"18,609,415",466,"5,298,878",0.343911939,8.79431457,25.57141398,,,,,,,,0
death,21-Nov,202144,50-64,vax with updated booster,,,466,"5,298,878",,8.79431457,,,,,,,,,0
death,21-Nov,202144,65-79,vaccinated,201,"13,777,148.10",571,"1,512,918.45",1.458937645,37.74162447,25.86925124,,,,,,,,1
death,21-Nov,202144,65-79,vax with updated booster,,,571,"1,512,918.45",,37.74162447,,,,,,,,,1
death,21-Nov,202144,80+,vaccinated,309,"3,882,981",314,"680,680.05",7.957803554,46.13033686,5.796868011,,,,,,,,1
death,21-Nov,202144,80+,vax with updated booster,,,314,"680,680.05",,46.13033686,,,,,,,,,1
death,21-Nov,202144,all_ages,vaccinated,593,"70,285,262.10","1,544","27,605,866.50",,,,0.644923405,9.28205708,14.39249531,0.67032,10.28212,15.33908,,1
death,21-Nov,202144,all_ages,vax with updated booster,,,"1,544","27,605,866.50",,,,,9.28205708,,,10.28212,,,1
death,21-Nov,202145,17-Dec,vaccinated,0,"4,971,440",3,"4,860,869",0,0.06171736,,,,,,,,,0
death,21-Nov,202145,17-Dec,vax with updated booster,,,3,"4,860,869",,0.06171736,,,,,,,,,0
death,21-Nov,202145,18-29,vaccinated,0,"11,782,212",20,"9,163,210",0,0.218264124,,,,,,,,,0
death,21-Nov,202145,18-29,vax with updated booster,,,20,"9,163,210",,0.218264124,,,,,,,,,0
death,21-Nov,202145,30-49,vaccinated,15,"22,526,373",186,"10,676,163",0.066588616,1.742198953,26.16361564,,,,,,,,0
death,21-Nov,202145,30-49,vax with updated booster,,,186,"10,676,163",,1.742198953,,,,,,,,,0
death,21-Nov,202145,50-64,vaccinated,77,"18,703,816",427,"5,189,796.90",0.411680697,8.227682282,19.98559162,,,,,,,,1
death,21-Nov,202145,50-64,vax with updated booster,,,427,"5,189,796.90",,8.227682282,,,,,,,,,1
death,21-Nov,202145,65-79,vaccinated,227,"13,841,621.10",549,"1,478,794.45",1.639981317,37.12483503,22.63735242,,,,,,,,1
death,21-Nov,202145,65-79,vax with updated booster,,,549,"1,478,794.45",,37.12483503,,,,,,,,,1
death,21-Nov,202145,80+,vaccinated,294,"3,901,615",348,"665,859.05",7.535341134,52.26331308,6.935759397,,,,,,,,1
death,21-Nov,202145,80+,vax with updated booster,,,348,"665,859.05",,52.26331308,,,,,,,,,1
death,21-Nov,202145,all_ages,vaccinated,613,"70,755,637.10","1,530","27,173,823.40",,,,0.654730245,9.42845059,14.40051175,0.67032,10.28212,15.33908,,1
death,21-Nov,202145,all_ages,vax with updated booster,,,"1,530","27,173,823.40",,,,,9.42845059,,,10.28212,,,1
death,21-Nov,202146,17-Dec,vaccinated,0,"5,016,671",0,"4,792,056",0,0,,,,,,,,,0
death,21-Nov,202146,17-Dec,vax with updated booster,,,0,"4,792,056",,0,,,,,,,,,0
death,21-Nov,202146,18-29,vaccinated,2,"11,883,452",24,"9,052,780",0.016830127,0.265111933,15.75222462,,,,,,,,0
death,21-Nov,202146,18-29,vax with updated booster,,,24,"9,052,780",,0.265111933,,,,,,,,,0
death,21-Nov,202146,30-49,vaccinated,20,"22,690,839",184,"10,492,577",0.088141298,1.753620679,19.89556224,,,,,,,,0
death,21-Nov,202146,30-49,vax with updated booster,,,184,"10,492,577",,1.753620679,,,,,,,,,0
